column,type,include,sample_value,sample_num_uni,sample_uni_percentage,sample_min,sample_median,sample_max,sample_std
rawcensustractandblock,numeric,1,"[60376006.01300601, 60375359.02100799, 61110064.00400501, 60375010.022011, 60372679.02300601]",10006,0.91916,60371011.1,60375007,61110091,211196.3605
regionidcity,numeric,1,"[396054.0, 46298.0, 12447.0, 54722.0, 54722.0]",160,0.01486,3491,24384,396556,58627.05495
regionidcounty,numeric,1,"[3101, 3101, 3101, 3101, 3101]",3,0.00028,1286,3101,3101,496.3647098
regionidneighborhood,numeric,1,"[273263.0, 48200.0, 274049.0, 32059.0, 273400.0]",357,0.07576,6952,118208,764167,169142.5192
regionidzip,numeric,1,"[97318.0, 96525.0, 96123.0, 97329.0, 96023.0]",350,0.03218,95982,96295,399675,5825.634776
roomcnt,numeric,1,"[0.0, 0.0, 0.0, 0.0, 0.0]",12,0.0011,0,0,12,2.20819215
storytypeid,numeric,1,"[7.0, 7.0, 7.0, 7.0, 7.0]",1,0.125,7,7,7,0
threequarterbathnbr,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",2,0.00512,1,1,2,0.087256891
typeconstructiontypeid,numeric,1,"[6.0, 6.0]",1,0.5,6,6,6,0
unitcnt,numeric,1,"[1.0, 1.0, 1.0, 1.0, 1.0]",8,0.00088,1,1,48,0.745497092
yardbuildingsqft17,numeric,1,"[1145.0, 148.0, 868.0, 180.0, 120.0]",192,0.50526,28,255,1672,213.7031724
yardbuildingsqft26,numeric,1,"[560.0, 96.0, 560.0, 160.0, 160.0]",13,0.92857,26,240,1280,326.1883455
yearbuilt,numeric,1,"[1974.0, 1949.0, 1934.0, 1957.0, 1915.0]",122,0.01132,1885,1956,2014,21.67582841
numberofstories,numeric,1,"[1.0, 1.0, 1.0, 1.0, 2.0]",4,0.00273,1,1,4,0.492158716
fireplaceflag,str,1,"[True, True, True, True]",1,0.25,,,,
structuretaxvaluedollarcnt,numeric,1,"[105587.0, 37100.0, 188117.0, 324979.0, 342611.0]",8956,0.83889,5,114569.5,13115017,270257.7936
taxvaluedollarcnt,numeric,1,"[100748.0, 58092.0, 648992.0, 25039.0, 485000.0]",9606,0.89533,9,279835,29713710,680217.925
assessmentyear,numeric,1,"[2015, 2015, 2015, 2015, 2015]",2,0.00018,2014,2015,2015,0.025349837
landtaxvaluedollarcnt,numeric,1,"[81214.0, 42839.0, 354291.0, 1040379.0, 163453.0]",8605,0.80428,4,150708,22101269,466346.036
taxamount,numeric,1,"[7384.23, 1613.99, 5628.65, 2924.45, 5491.85]",10747,0.99408,19.07,3711.73,362406.91,8293.733292
taxdelinquencyflag,str,1,"['Y', 'Y', 'Y', 'Y', 'Y']",1,0.00389,,,,
taxdelinquencyyear,numeric,1,"[15.0, 14.0, 12.0, 13.0, 15.0]",9,0.03502,7,14,15,1.636712972
censustractandblock,numeric,1,"[60372717021004.0, 60374315022018.0, 60374826002024.0, 60374012023008.0, 60379108052051.0]",9761,0.92181,6.0371E+13,6.0375E+13,6.11101E+13,2.12339E+11
